type,original,english,domain_original,domain_english,item_original,item_english
category,Flyg - Flygresor,Flights - Passenger flights,Flyg,Flights,Flygresor,Passenger flights
category,Bostaden - fjärrvärme och annan energi för uppvärmning och kylning,Housing - District heating and other energy for heating and cooling,Bostaden,Housing,fjärrvärme och annan energi för uppvärmning och kylning,District heating and other energy for heating and cooling
category,Lokala transporter - direkta utsläpp från fordonsanvändning,Local transport - Direct emissions from vehicle use,Lokala transporter,Local transport,direkta utsläpp från fordonsanvändning,Direct emissions from vehicle use
category,Mat och dryck - kött,Food and drink - Meat,Mat och dryck,Food and drink,kött,Meat
category,Bostaden - uppskattad hyra för egen bostad (ägd permanentbostad),Housing - Imputed rent for owned permanent dwelling,Bostaden,Housing,uppskattad hyra för egen bostad (ägd permanentbostad),Imputed rent for owned permanent dwelling
category,"Mat och dryck - mjölk, ost, övriga mejeriprodukter, ägg","Food and drink - Milk, cheese, other dairy products and eggs",Mat och dryck,Food and drink,"mjölk, ost, övriga mejeriprodukter, ägg","Milk, cheese, other dairy products and eggs"
category,"Övrigt - Hotell, kaféer och restauranger","Other consumption - Hotels, cafés and restaurants",Övrigt,Other consumption,"Hotell, kaféer och restauranger","Hotels, cafés and restaurants"
category,Kläder och skor - kläder,Clothing and shoes - Clothing,Kläder och skor,Clothing and shoes,kläder,Clothing
category,"Mat och dryck - grönsaker, rotfrukter, baljväxter","Food and drink - Vegetables, root crops and legumes",Mat och dryck,Food and drink,"grönsaker, rotfrukter, baljväxter","Vegetables, root crops and legumes"
category,Lokala transporter - bränslen och smörjmedel,Local transport - Fuels and lubricants,Lokala transporter,Local transport,bränslen och smörjmedel,Fuels and lubricants
category,Mat och dryck - frukter och nötter,Food and drink - Fruit and nuts,Mat och dryck,Food and drink,frukter och nötter,Fruit and nuts
category,"Fritid, sport, kultur - paketresor","Leisure, sport and culture - Package holidays","Fritid, sport, kultur","Leisure, sport and culture",paketresor,Package holidays
